Longitude,Latitude
-96.1679447,19.1922834
19.7935705,50.0898965
-123.4112839,48.4373686
-86.3630197,13.0851139
-72.0645776,-13.3379818
34.1114621,3.0062022
103.9344076,16.0332128
36.2090012,49.854824
36.8458837,-1.2816645
18.7971435,50.6283477
71.3099509,29.8626871
141.2777515,38.5796262
15.379192,46.791555
-8.9978149,38.9458437
113.930475,22.533012
-77.0852258,38.9374808
-8.6867786,40.1721605
10.4494906,11.7775345
18.7293002,50.969668
24.4154907,60.0557978
116.664056,28.695534
15.4122128,51.0350353
-64.182416,-31.372506
23.0102888,40.4168034
109.428608,24.326292
110.947552,34.423878
114.6204667,-3.2690585
-75.6033497,6.1307505
21.7513868,39.3525635
-8.7386338,39.764261
120.6947522,-8.6577711
6.6372501,52.3323097
108.5671,-7.1311
-61.344385,15.38447
-50.534262,-29.6216078
29.85391,-30.85775
-76.240381,8.788161
-171.5877457,-13.8875282
-77.6929792,-9.2623446
139.7750031,36.7003816
2.368326,48.7823921
103.46083,52.86917
-40.2509918,-15.2475119
69.079674,34.496651
113.829667,22.720595
8.6023254,8.943208
-9.3872558,38.7080654
96.06085,5.255183
117.3616476,39.3433574
123.0902,-8.4793
-5.6773512,5.8594728
-16.2345633,14.6561238
91.8696765,22.8109535
-9.0955246,38.6407826
125.2824211,8.1592413
-44.0404979,-19.6189005
17.9794988,53.1210091
114.055023,22.521523
-8.3929404,51.8113447
-65.4969437,-27.1677239
-96.3598367,42.5069391
4.3603508,49.2958555
43.1333329,59.75
11.4668922,58.18501
-71.2829759,-35.1164987
2.4633136,49.0240609
18.3894128,49.8309961
-76.9717368,-12.1538726
172.6317809,-43.5210758
106.8207875,-6.2608384
-9.7093341,31.2122278
115.81778,26.610707
-104.3624353,50.444953
26.8652271,50.6548909
114.7855271,-3.565921
-170.7269854,-14.331296
52.6921001,30.9049366
39.53366,48.32643
109.0869316,-7.0795248
5.3099089,52.1861944
120.857473,15.2401348
-46.900245,-16.361238
60.4890295,56.7980147
21.6206833,37.5923591
121.1161746,31.0600061
-73.2116953,7.6488023
124.25,7.2333331
-2.244703,52.721723
108.4454089,-7.1370986
116.371207,39.953041
-16.7559004,13.1806725
28.2416397,57.8282585
112.746046,38.404242
113.217762,22.481274
-8.718171,41.2781543
-4.2494388,55.8709949
112.758414,-7.272379
120.78464,32.0409755
103.359019,34.682497
-99.1324282,19.5037694
